iter	Passed	Remaining
400	60075	89739
401	60326	89739
402	60597	89769
403	60880	89813
404	61124	89800
405	61408	89843
406	61645	89817
407	61884	89792
408	61976	89554
409	62210	89522
410	62439	89481
411	62521	89230
412	62754	89193
413	63004	89180
414	63237	89141
415	63488	89128
416	63747	89124
417	63995	89103
418	64279	89132
419	64562	89157
420	64820	89147
421	65060	89111
422	65315	89095
423	65571	89077
424	65798	89021
425	66030	88970
426	66289	88954
427	66535	88920
428	66817	88934
429	67109	88959
430	67442	89036
431	67788	89129
432	68071	89137
433	68380	89178
434	68652	89168
435	68965	89212
436	69143	89079
437	69446	89106
438	69696	89065
439	69950	89027
440	70248	89044
441	70562	89080
442	70817	89041
443	71097	89031
444	71352	88990
445	71583	88917
446	71859	88899
447	72110	88850
448	72399	88846
449	72502	88613
450	72810	88631
451	73111	88639
452	73411	88644
453	73692	88626
454	74076	88729
455	74381	88736
456	74709	88769
457	75054	88819
458	75344	88804
459	75570	88713
460	75811	88638
461	76052	88563
462	76349	88552
463	76576	88458
464	76670	88212
465	76912	88135
466	77169	88075
467	77423	88011
468	77681	87950
469	77951	87903
470	78282	87922
471	78642	87973
472	78970	87986
473	79330	88033
474	79604	87984
475	79893	87950
476	80176	87908
477	80457	87863
478	80695	87771
479	80944	87689
480	81195	87610
481	81444	87527
482	81638	87385
483	82000	87422
484	82313	87404
485	82670	87433
486	82976	87406
487	83231	87324
488	83540	87299
489	83788	87208
490	83981	87060
491	84232	86971
492	84290	86683
493	84577	86632
494	84909	86624
495	85156	86529
496	85424	86455
497	85677	86366
498	85927	86271
499	86183	86183
500	86478	86133
501	86658	85967
502	86938	85901
503	87218	85834
504	87465	85733
505	87715	85634
506	87968	85539
507	88228	85450
508	88439	85311
509	88678	85200
510	88967	85136
511	89305	85119
512	89539	85000
513	89764	84874
514	90017	84774
515	90288	84689
516	90519	84566
517	90858	84543
518	91123	84451
519	91355	84328
520	91576	84194
521	91812	84073
522	92095	83995
523	92360	83900
524	92663	83837
525	92966	83775
526	93266	83710
527	93498	83581
528	93777	83495
529	94037	83392
530	94311	83299
531	94549	83175
532	94826	83084
533	95057	82953
534	95330	82856
535	95622	82777
536	95864	82653
537	96193	82604
538	96450	82492
539	96737	82406
540	96965	82268
541	97320	82237
542	97577	82122
543	97790	81971
544	98054	81862
545	98292	81730
546	98576	81636
547	98792	81485
548	99006	81333
549	99272	81222
550	99614	81174
551	99933	81105
552	100242	81027
553	100546	80945
554	100862	80871
555	101078	80717
556	101364	80618
557	101671	80535
558	101975	80449
559	102249	80339
560	102568	80263
561	102787	80108
562	103067	80000
563	103492	80004
564	103797	79915
565	104150	79860
566	104449	79765
567	104676	79613
568	104950	79497
569	105281	79422
570	105584	79327
571	106254	79504
572	106469	79340
573	106770	79241
574	107034	79112
575	107350	79021
576	107611	78890
577	107859	78748
578	108127	78621
579	108412	78505
580	108679	78376
581	108948	78248
582	109169	78084
583	109403	77931
584	109702	77823
585	109950	77678
586	110050	77429
587	110333	77308
588	110597	77174
589	110819	77010
590	111103	76888
591	111329	76727
592	111623	76611
593	111688	76339
594	111979	76221
595	112195	76052
596	112477	75926
597	112741	75789
598	113027	75666
599	113272	75514
600	113510	75359
601	113792	75231
602	114117	75131
603	114376	74988
604	114641	74848
605	114922	74718
606	115210	74592
607	115506	74471
608	115733	74305
609	115994	74160
610	116269	74024
611	116519	73872
612	116811	73745
613	117055	73588
614	117302	73433
615	117539	73271
616	117761	73099
617	118059	72975
618	118281	72803
619	118577	72676
620	118817	72515
621	119100	72379
622	119340	72217
623	119574	72051
624	119824	71894
625	120065	71732
626	120340	71590
627	120531	71397
628	120820	71262
629	121102	71123
630	121345	70961
631	121606	70808
632	121823	70630
633	122070	70469
634	122345	70324
635	122515	70119
636	122706	69925
637	122976	69776
638	123260	69635
639	123529	69485
640	123809	69341
641	123992	69142
642	124282	69002
643	124548	68850
644	124757	68665
645	125021	68510
646	125280	68352
647	125617	68236
648	125863	68070
649	126164	67934
650	126486	67809
651	126774	67664
652	127104	67542
653	127418	67411
654	127679	67250
655	127914	67076
656	128178	66918
657	128502	66790
658	128837	66667
659	129162	66538
660	129418	66373
661	129689	66216
662	130034	66096
663	130339	65955
664	130583	65782
665	130854	65623
666	131088	65446
667	131339	65276
668	131616	65119
669	131919	64975
670	132131	64785
671	132355	64602
672	132639	64447
673	132988	64323
674	133214	64140
675	133474	63972
676	133770	63822
677	134048	63663
678	134266	63475
679	134508	63298
680	134735	63114
681	134940	62919
682	135167	62735
683	135374	62541
684	135632	62371
685	135816	62166
686	136079	61998
687	136324	61821
688	136580	61649
689	136813	61466
690	137046	61284
691	137287	61105
692	137538	60929
693	137801	60759
694	138038	60577
695	138281	60398
696	138529	60221
697	138811	60058
698	139028	59867
699	139225	59668
700	139494	59498
701	139736	59318
702	140004	59148
703	140226	58958
704	140509	58794
705	140742	58609
706	140990	58430
707	141209	58238
708	141469	58064
709	141725	57887
710	142025	57729
711	142268	57546
712	142512	57364
713	142738	57175
714	143007	57003
715	143214	56805
716	143457	56622
717	143723	56448
718	143972	56267
719	144226	56088
720	144478	55907
721	144776	55744
722	145033	55565
723	145297	55389
724	145591	55224
725	145718	54995
726	145805	54752
727	145912	54516
728	146170	54337
729	146386	54142
730	146613	53952
731	146813	53751
732	147045	53562
733	147306	53383
734	147550	53198
735	147825	53024
736	148050	52832
737	148299	52648
738	148547	52463
739	148807	52283
740	149059	52100
741	149344	51928
742	149586	51741
743	149848	51560
744	150097	51375
745	150299	51174
746	150552	50990
747	150780	50797
748	151024	50610
749	151289	50429
750	151555	50249
751	151861	50082
752	152104	49893
753	152318	49695
754	152556	49505
755	152779	49309
756	153059	49132
757	153278	48936
758	153531	48749
759	153794	48566
760	154026	48373
761	154314	48197
762	154527	47998
763	154757	47804
764	154990	47611
765	155228	47419
766	155456	47224
767	155702	47035
768	155922	46837
769	156163	46646
770	156470	46474
771	156709	46281
772	156964	46094
773	157187	45897
774	157457	45713
775	157685	45517
776	157974	45338
777	158207	45143
778	158473	44958
779	158669	44752
780	158951	44571
781	159185	44376
782	159455	44191
783	159667	43989
784	159859	43783
785	160108	43591
786	160420	43417
787	160699	43233
788	160874	43022
789	161084	42819
790	161321	42624
791	161672	42459
792	161945	42273
793	162243	42093
794	162469	41894
795	162740	41707
796	163060	41532
797	163409	41364
798	163787	41203
799	164002	41000
800	164251	40806
801	164480	40607
802	164864	40446
803	165137	40257
804	165434	40074
805	165746	39894
806	166020	39705
807	166213	39496
808	166402	39286
809	166785	39122
810	167088	38939
811	167392	38755
812	167588	38547
813	167809	38344
814	168178	38175
815	168433	37980
816	168718	37791
817	168990	37599
818	169265	37407
819	169573	37223
820	169814	37024
821	170053	36824
822	170342	36635
823	170587	36436
824	170829	36236
825	171073	36037
826	171285	35831
827	171534	35632
828	171728	35422
829	171965	35221
830	172219	35024
831	172507	34833
832	172736	34630
833	173044	34442
834	173274	34239
835	173613	34058
836	173892	33864
837	174130	33662
838	174445	33475
839	174722	33280
840	174954	33076
841	175273	32889
842	175486	32682
843	175742	32483
844	175989	32282
845	176211	32076
846	176449	31873
847	176644	31662
848	176855	31454
849	177102	31253
850	177338	31049
851	177561	30844
852	177788	30638
853	178072	30443
854	178314	30240
855	178540	30034
856	178797	29834
857	179025	29628
858	179249	29422
859	179487	29218
860	179720	29014
861	179923	28804
862	180535	28659
863	180713	28445
864	180944	28239
865	181170	28033
866	181383	27824
867	181667	27626
868	181906	27422
869	182116	27212
870	182354	27007
871	182622	26806
872	182848	26600
873	183050	26389
874	183290	26184
875	183537	25980
876	183783	25775
877	184008	25568
878	184245	25362
879	184497	25158
