iter	Logloss
0	0.6330149347
1	0.5803736698
2	0.5325040688
3	0.4929450972
4	0.4570401165
5	0.427767448
6	0.3998802345
7	0.3759003242
8	0.3565342749
9	0.3394643392
10	0.3247834401
11	0.3117390836
12	0.3002877976
13	0.2895400437
14	0.2803754217
15	0.2705054193
16	0.2620495692
17	0.2549059567
18	0.2480367659
19	0.2418068411
20	0.2345910274
21	0.228570837
22	0.2225800247
23	0.217833476
24	0.2134609921
25	0.2097876521
26	0.2061663019
27	0.2031259073
28	0.2004943468
29	0.1977143243
30	0.1954014715
31	0.1931033812
32	0.191127784
33	0.1898028604
34	0.1883610116
35	0.1867887102
36	0.1852882619
37	0.1844028569
38	0.1833996509
39	0.1827122804
40	0.1815651383
41	0.180730434
42	0.1799340213
43	0.1793450261
44	0.1786979047
45	0.1781576751
46	0.1775977281
47	0.1771716526
48	0.1764206082
49	0.1758023055
50	0.175428724
51	0.1749408601
52	0.1745847939
53	0.1741388528
54	0.173153447
55	0.1723053033
56	0.1715647915
57	0.1709193523
58	0.1702736096
59	0.1697545608
60	0.169098097
61	0.168685816
62	0.1682670987
63	0.1677779901
64	0.1676091061
65	0.1674864676
66	0.1670216421
67	0.1669039076
68	0.1665830655
69	0.166198164
70	0.1658213822
71	0.1657362937
72	0.1654549251
73	0.1650232733
74	0.1647081829
75	0.1646882757
76	0.1643897288
77	0.1642231609
78	0.1639533306
79	0.1636208818
80	0.1634175672
81	0.1633390184
82	0.1632986157
83	0.1632739748
84	0.1632270989
85	0.1631918069
86	0.1628878019
87	0.162877815
88	0.1625729434
89	0.1623843408
90	0.1621554069
91	0.1619460438
92	0.1618505869
93	0.1617269503
94	0.1616677284
95	0.1613054447
96	0.1612860679
97	0.1612430908
98	0.1612141106
99	0.1611985607
100	0.161052556
101	0.1609739904
102	0.1609134649
103	0.1607750644
104	0.1607728096
105	0.1607213913
106	0.1606972465
107	0.1604793468
108	0.1603832136
109	0.1603710051
110	0.1603688378
111	0.1603686322
112	0.160205113
113	0.1599631731
114	0.1595910472
115	0.1595817359
116	0.1595311935
117	0.159511489
118	0.1594855263
119	0.1592218715
120	0.1591911547
121	0.1590243654
122	0.1590233205
123	0.1590230277
124	0.1590018334
125	0.1588575118
126	0.1586822573
127	0.1586540113
128	0.1586375186
129	0.1585702287
130	0.1585001412
131	0.1584795673
132	0.1584754484
133	0.1584402525
134	0.1584295607
135	0.1583993863
136	0.1583914093
137	0.1583343574
138	0.1583064254
139	0.158304903
140	0.1582874757
141	0.158282869
142	0.1582397036
143	0.1581940917
144	0.1581938681
145	0.1581864738
146	0.1581758767
147	0.1581189718
148	0.1581129026
149	0.15807366
150	0.1580668231
151	0.1579477814
152	0.1579382263
153	0.1579001398
154	0.1578905261
155	0.1578892411
156	0.1574520569
157	0.157449959
158	0.1574334266
159	0.1574272881
160	0.1574225706
161	0.1574106627
162	0.1573331323
163	0.1573028317
164	0.1572963762
165	0.1572704328
166	0.1572664639
167	0.1572364863
168	0.1572338895
169	0.1569553519
170	0.1569552319
171	0.1569516233
172	0.1569442044
173	0.15683249
174	0.1568232073
175	0.1568161357
176	0.1566532272
177	0.1565992584
178	0.1565988248
179	0.1565921756
180	0.1565834816
181	0.1565087787
182	0.1562820746
183	0.1562820199
184	0.1562088546
185	0.1562023357
186	0.1561976867
187	0.1558681707
188	0.1557941304
189	0.1555645743
190	0.1553980651
191	0.1553757238
192	0.1553579273
193	0.1553479804
194	0.155330536
195	0.1552594028
196	0.1552548969
197	0.1552279483
198	0.1552253474
199	0.1551840765
200	0.1551425949
201	0.1551364825
202	0.1551119896
203	0.1550698105
204	0.1548887419
205	0.1548866183
206	0.1548865389
207	0.1548843712
208	0.15487641
209	0.1547880081
210	0.1547838079
211	0.1547050947
212	0.1547006342
213	0.1546830851
214	0.1546617055
215	0.1545732629
216	0.1543299226
217	0.1543298715
218	0.1543113471
219	0.1542797934
220	0.1542043016
221	0.154196292
222	0.1540939813
223	0.1540308132
224	0.1539406977
225	0.1539367066
226	0.1538536094
227	0.1537231992
228	0.1536371484
229	0.1536344021
230	0.1534935989
231	0.1534919696
232	0.1534511943
233	0.1533598562
234	0.153314597
235	0.1532880165
236	0.1532816045
237	0.153271037
238	0.1532177739
239	0.1531709055
240	0.1531533983
241	0.1531230655
242	0.1528818565
243	0.1528721337
244	0.1527895943
245	0.1527530599
246	0.1527473545
247	0.1527080302
248	0.1526503306
249	0.1525469477
250	0.1525400888
251	0.1524969341
252	0.1523791507
253	0.1522576454
254	0.1522174803
255	0.1521080968
256	0.1520303455
257	0.151957117
258	0.1518973733
259	0.1518945304
260	0.1518459058
261	0.1518327889
262	0.1518118439
263	0.1517373818
264	0.1517260346
265	0.1515935534
266	0.1515690614
267	0.1515581929
268	0.1514646093
269	0.1513923063
270	0.1513581706
271	0.1513528118
272	0.1513214029
273	0.1513041902
274	0.1512939061
275	0.1512692235
276	0.1512274082
277	0.1511897899
278	0.1510064931
279	0.1509835576
280	0.1509620303
281	0.1509032307
282	0.150886781
283	0.1508078918
284	0.150786786
285	0.1507383604
286	0.1507212276
287	0.150660794
288	0.1506310796
289	0.1505509128
290	0.1505207346
291	0.1504704753
292	0.1504159093
293	0.1503804308
294	0.1503563678
295	0.1503510213
296	0.1503477832
297	0.1502669618
298	0.1502486658
299	0.150184548
300	0.1501643781
301	0.1501353978
302	0.150103438
303	0.1500221326
304	0.1500028849
305	0.1499507019
306	0.1498827024
307	0.1498562748
308	0.1498547601
309	0.1498535104
310	0.1498367251
311	0.1498254207
312	0.1498188802
313	0.1497247463
314	0.1496997822
315	0.1495210158
316	0.1494984168
317	0.1494719202
318	0.1494639601
319	0.1494601069
320	0.1492953016
321	0.1492541797
322	0.1492108721
323	0.1491898412
324	0.1491555617
325	0.1491520433
326	0.1491329629
327	0.1490563978
328	0.1490489425
329	0.1490178826
330	0.1489686646
331	0.1489427879
332	0.1489137583
333	0.1488435148
334	0.1487841132
335	0.1487241698
336	0.1486635171
337	0.1486102603
338	0.1485910093
339	0.1485805586
340	0.1485571212
341	0.1484490206
342	0.1484042606
343	0.1483833319
344	0.1483029013
345	0.1482710774
346	0.1482496352
347	0.1482181901
348	0.1481912304
349	0.1481033243
350	0.1480938512
351	0.1480506632
352	0.1480480098
353	0.1480147973
354	0.1479989445
355	0.1479867492
356	0.1479856908
357	0.1479744811
358	0.1479460028
359	0.1479180432
360	0.1476654203
361	0.1476110244
362	0.1475626102
363	0.147508714
364	0.1475070335
365	0.1474880584
366	0.1474737873
367	0.147454724
368	0.1474515555
369	0.1474058428
370	0.1473257548
371	0.147204875
372	0.147193678
373	0.1471640252
374	0.147150531
375	0.1471093451
376	0.1470195693
377	0.1469735656
378	0.1469591567
379	0.1469140644
380	0.1469102193
381	0.1467750782
382	0.1467744601
383	0.1467152964
384	0.1466516791
385	0.1465763058
386	0.1465667413
387	0.1465587466
388	0.1464917874
389	0.1464531671
390	0.1464309414
391	0.1463978279
392	0.1463702382
393	0.1462407583
394	0.1462284664
395	0.1462161825
396	0.1461994962
397	0.1461658994
398	0.1461343117
399	0.1461243865
400	0.1461081276
401	0.1461067182
402	0.1460490311
403	0.146038462
404	0.1460313502
405	0.1459266828
406	0.1459094786
407	0.1458506103
408	0.1458491544
409	0.1457048867
410	0.1457016403
411	0.145700371
412	0.1456883489
413	0.1456763974
414	0.145673699
415	0.1456553709
416	0.1455815581
417	0.1455763065
418	0.1455575235
419	0.1454841755
420	0.1454357302
421	0.1453582359
422	0.145331002
423	0.1452979614
424	0.1452901718
425	0.1452749494
426	0.1452359763
427	0.1452141076
428	0.1452022281
429	0.145192856
430	0.1451415294
431	0.1451070136
432	0.1451059491
433	0.1450976169
434	0.1450635235
435	0.1450031237
436	0.1450014731
437	0.1449733117
438	0.1449627789
439	0.1449295598
440	0.1448355751
441	0.1447950208
442	0.1447776123
443	0.1447750141
444	0.144766813
445	0.1447564435
446	0.1447487843
447	0.1447409962
448	0.1446151582
449	0.1446131899
450	0.1446037725
451	0.1446020173
452	0.1445378152
453	0.1444525329
454	0.1444246305
455	0.1444031862
456	0.1444000227
457	0.144251141
458	0.1442388849
459	0.1442351728
460	0.1441894733
461	0.1441613121
462	0.1441526978
463	0.1441398286
464	0.1441381223
465	0.1440424393
466	0.1440372783
467	0.1439736096
468	0.1439694887
469	0.1439508295
470	0.143942827
471	0.1439227509
472	0.1439148485
473	0.1439120431
474	0.1438542924
475	0.1437714968
476	0.1437189293
477	0.1436696257
478	0.143619094
479	0.1435912476
480	0.1435638136
481	0.1435442045
482	0.1435433783
483	0.1435273505
484	0.1435049663
485	0.143479105
486	0.1434720857
487	0.1434702433
488	0.1434465534
489	0.1433516804
490	0.1433487334
491	0.1433289452
492	0.1433275826
493	0.1431916837
494	0.1431833722
495	0.1431825425
496	0.1431718997
497	0.1431700196
498	0.1430481718
499	0.1430446579
500	0.1430407016
501	0.1430391121
502	0.1430155311
503	0.1429826776
504	0.1429610438
505	0.1429124953
506	0.1428754915
507	0.1428705805
508	0.1428676264
509	0.1428474002
510	0.1428060753
511	0.1427893888
512	0.1427382863
513	0.1427299781
514	0.1426230846
515	0.1425659194
516	0.1425484626
517	0.1425225273
518	0.1425036472
519	0.1424185963
520	0.1424047199
521	0.1423944706
522	0.1423813199
523	0.1423363607
524	0.1422962741
525	0.1422709765
526	0.1422621612
527	0.1422558514
528	0.1422459495
529	0.1422294321
530	0.1421547565
531	0.1421025599
532	0.1420667796
533	0.1420650857
534	0.142031275
535	0.1420157306
536	0.141982772
537	0.1419395193
538	0.1419296735
539	0.141915201
540	0.1418971964
541	0.141809073
542	0.1417961409
543	0.1417949891
544	0.1417912894
545	0.141790573
546	0.1417635047
547	0.1417610091
548	0.1417212448
549	0.1416780912
550	0.141670643
551	0.1416638936
552	0.1416494781
553	0.1416240211
554	0.14158419
555	0.1415675529
556	0.1415534625
557	0.1414872524
558	0.1414690185
559	0.1414248855
560	0.1414062497
561	0.1413960062
562	0.1413507073
563	0.1412913451
564	0.1412637851
565	0.1412519328
566	0.1412461019
567	0.1412376157
568	0.1410593776
569	0.140872134
570	0.1408154491
571	0.1407721898
572	0.1407580495
573	0.1407311995
574	0.1407231661
575	0.1406858907
576	0.1406806751
577	0.1406106469
578	0.1406076
579	0.1405940231
580	0.1405438316
581	0.1405166481
582	0.1405153465
583	0.1405108103
584	0.1404918087
585	0.140483218
586	0.1404780022
587	0.1404494032
588	0.14044887
589	0.1404365291
590	0.1404319955
591	0.1404157059
592	0.1403921161
593	0.140391969
594	0.1403475832
595	0.1403343751
596	0.1401741901
597	0.1401344338
598	0.140123569
599	0.1401173944
600	0.1401066178
601	0.1401019741
602	0.1400644556
603	0.1400385138
604	0.1400058323
605	0.1399961965
606	0.1399908693
607	0.1399329211
608	0.1399257082
609	0.139916905
610	0.1398813103
611	0.1398673273
612	0.1398314146
613	0.1398269062
614	0.1397966952
615	0.1397951941
616	0.1397930793
617	0.1397631048
618	0.1397608073
619	0.1397492146
620	0.1397228925
621	0.1396470748
622	0.1396306688
623	0.1395699569
624	0.1395627946
625	0.1395393499
626	0.1394090782
627	0.1394074305
628	0.1393886747
629	0.1393797384
630	0.1393643175
631	0.1393356993
632	0.1393326045
633	0.1392863528
634	0.1392739022
635	0.1392720723
636	0.1392717995
637	0.1392611125
638	0.1391638365
639	0.1390462178
640	0.1389858132
641	0.138978585
642	0.1389492281
643	0.1389331201
644	0.1389310994
645	0.1389169144
646	0.1388995243
647	0.1388681426
648	0.1388560034
649	0.1388539414
650	0.1388057516
651	0.1387949851
652	0.138784884
653	0.1387287958
654	0.1386711444
655	0.1386652904
656	0.138664474
657	0.1386576985
658	0.1386476961
659	0.1386210902
660	0.1384456977
661	0.1384449845
662	0.1384003111
663	0.1383987393
664	0.1383952517
665	0.1383917455
666	0.1383797888
667	0.1383517023
668	0.1383206105
669	0.1383009917
670	0.138295666
671	0.1382899195
672	0.1382551613
673	0.1382283676
674	0.1382191075
675	0.1382125816
676	0.1382007319
677	0.1381868249
678	0.1381855378
679	0.1381562865
680	0.1381532005
681	0.1381472237
682	0.1381469149
683	0.138143819
684	0.1381384211
685	0.1381368826
686	0.1381130542
687	0.1381086703
688	0.1380852181
689	0.1380837263
690	0.1380658782
691	0.1380361412
692	0.1378563673
693	0.1378275019
694	0.1378178866
695	0.1378145444
696	0.1377876394
697	0.137772579
698	0.137770553
699	0.1377690137
700	0.1377444671
701	0.1377040444
702	0.1376698558
703	0.1376596484
704	0.1376425078
705	0.1374822786
706	0.1374791745
707	0.1374777351
708	0.1374414033
709	0.1373865548
710	0.1373770488
711	0.1373625077
712	0.1373593125
713	0.1373102302
714	0.1373056191
715	0.1372967807
716	0.1372597666
717	0.1372115533
718	0.1372010002
719	0.1371212539
720	0.1371040871
721	0.1369958331
722	0.136957587
723	0.1369042449
724	0.1368668247
725	0.1368643563
726	0.1368634447
727	0.1368595545
728	0.1368344454
729	0.1368156171
730	0.1368129171
731	0.1368119618
732	0.1367951846
733	0.136790703
734	0.136765071
735	0.1367139578
736	0.1366396294
737	0.1366306902
738	0.1366084229
739	0.1365926548
740	0.1365564621
741	0.1364753378
742	0.1364623905
743	0.1364117316
744	0.1364061093
745	0.1363991142
746	0.136360931
747	0.1363560686
748	0.1363494004
749	0.1363375459
750	0.1363069802
751	0.1362917313
752	0.1362904319
753	0.1362872887
754	0.1362832059
755	0.1362802528
756	0.1362613155
757	0.1362568856
758	0.1362491838
759	0.1362162405
760	0.1362104962
761	0.1361663358
762	0.1361629284
763	0.1361618128
764	0.136147677
765	0.136143152
766	0.1360645665
767	0.1360609321
768	0.1360600578
769	0.1360339448
770	0.1359810249
771	0.1359719564
772	0.1359594725
773	0.135882556
774	0.1357758416
775	0.1357410898
776	0.1356667423
777	0.1356473002
778	0.1356365546
779	0.1356353298
780	0.1356185163
781	0.1356163932
782	0.135592413
783	0.1355916048
784	0.1355905697
785	0.1355895878
786	0.135548685
787	0.1355236826
788	0.1355232391
789	0.1355214565
790	0.1355081552
791	0.1354947754
792	0.1354612868
793	0.135456324
794	0.1354526216
795	0.1354367355
796	0.1354191291
797	0.1353868931
798	0.1353382342
799	0.135335498
800	0.1352588438
801	0.135255118
802	0.1352382812
803	0.1351973521
804	0.1351595924
805	0.1351515073
806	0.1351089543
807	0.1351043663
808	0.1351031645
809	0.134876833
810	0.1348760774
811	0.1348522576
812	0.1348500276
813	0.1348427829
814	0.1348061527
815	0.1348011494
816	0.1347715051
817	0.1347536989
818	0.1347121699
819	0.1346824602
820	0.1346749161
821	0.1346717947
822	0.1346414286
823	0.134620804
824	0.1346168131
825	0.1345973957
826	0.1345905724
827	0.1345865102
828	0.1345805442
829	0.134570155
830	0.1345677667
831	0.1345510941
832	0.1345471868
833	0.1345268358
834	0.1344358554
835	0.1344237223
836	0.1344074129
837	0.1343751014
838	0.1343709622
839	0.1343316881
840	0.1342585886
841	0.1342452254
842	0.134236821
843	0.1342194953
844	0.1342188711
845	0.134213265
846	0.1341996477
847	0.1341994583
848	0.1341963319
849	0.1341200248
850	0.1340713492
851	0.1340701095
852	0.1340614805
853	0.134044234
854	0.1340160458
855	0.1339887624
856	0.1339608794
857	0.1339568118
858	0.1339546855
859	0.1339495626
860	0.1339029324
861	0.1339011965
862	0.1338984131
863	0.1338969908
864	0.1338491605
865	0.1338448301
866	0.1338380797
867	0.1338346722
868	0.1338222481
869	0.1338104729
870	0.1337799772
871	0.1337496085
872	0.1337140994
873	0.1337122835
874	0.1336653027
875	0.1336383549
876	0.1335952392
877	0.1335944535
878	0.1335873671
879	0.1335823745
880	0.1335770031
881	0.1335754079
882	0.1335670698
883	0.1335105553
884	0.1334187107
885	0.1333877024
886	0.1333646981
887	0.1333590237
888	0.1333507821
889	0.133350326
890	0.1332599439
891	0.1332337191
892	0.1332218643
893	0.1331594122
894	0.133154869
895	0.1331243156
896	0.1331233736
897	0.1331174526
898	0.1331140826
899	0.1331124414
900	0.1331106945
901	0.1330735424
902	0.1329957515
903	0.1329804712
904	0.1329793475
905	0.1329673552
906	0.1329467431
907	0.1329233037
908	0.1329222718
909	0.1329142207
910	0.1329018249
911	0.1328796007
912	0.1328758451
913	0.1328739584
914	0.1327923122
915	0.1327890376
916	0.1327747461
917	0.1327661142
918	0.1327640503
919	0.1327280743
920	0.1327130169
921	0.1326871951
922	0.1326831605
923	0.1326642551
924	0.1326484056
925	0.1324993868
926	0.1324902336
927	0.1324566934
928	0.1324537442
929	0.1324506635
930	0.1324499396
931	0.1324426133
932	0.13242931
933	0.1324189706
934	0.1323792595
935	0.1323741106
936	0.132366001
937	0.1323440922
938	0.1322977782
939	0.1322648646
940	0.1322503755
941	0.1322392326
942	0.1322357595
943	0.1322174233
944	0.1322146644
945	0.1321686138
946	0.1321638352
947	0.1321196688
948	0.1320981622
949	0.1320852709
950	0.1320562248
951	0.1320479023
952	0.1319787617
953	0.1319673882
954	0.13194656
955	0.1319278058
956	0.1319086116
957	0.1319001302
958	0.1318988072
959	0.1318939654
960	0.1318590263
961	0.1318391432
962	0.1318381476
963	0.1318330281
964	0.1318215341
965	0.1317971307
966	0.1317932602
967	0.1317823342
968	0.1317668069
969	0.1317396215
970	0.1317301099
971	0.1317222199
972	0.1317104328
973	0.1317036083
974	0.1316984803
975	0.1316959094
976	0.1316858387
977	0.1316844134
978	0.1316194339
979	0.1316056335
980	0.1316022311
981	0.1316008042
982	0.1315960523
983	0.1315951237
984	0.1315930207
985	0.1314513061
986	0.1313852785
987	0.1313804581
988	0.1313416807
989	0.1313408746
